Benchmark                          ,    Min(us)    ,    Avg(us)    ,    Max(us)    

schnorrsig_sign                    ,     7.77      ,     7.80      ,     7.82   
schnorrsig_verify                  ,    15.7       ,    15.7       ,    15.7    
batchverify_schnorrsigs_1          ,    18.3       ,    18.3       ,    18.3    
batchverify_schnorrsigs_2          ,    15.7       ,    15.8       ,    15.9    
batchverify_schnorrsigs_3          ,    14.9       ,    14.9       ,    15.0    
batchverify_schnorrsigs_4          ,    14.5       ,    14.5       ,    14.5    
batchverify_schnorrsigs_5          ,    14.2       ,    14.2       ,    14.3    
batchverify_schnorrsigs_7          ,    14.0       ,    14.0       ,    14.0    
batchverify_schnorrsigs_9          ,    13.8       ,    13.8       ,    13.8    
batchverify_schnorrsigs_11         ,    13.6       ,    13.7       ,    13.7    
batchverify_schnorrsigs_14         ,    13.5       ,    13.5       ,    13.5    
batchverify_schnorrsigs_17         ,    13.5       ,    13.5       ,    13.5    
batchverify_schnorrsigs_21         ,    13.4       ,    13.4       ,    13.5    
batchverify_schnorrsigs_26         ,    13.4       ,    13.4       ,    13.4    
batchverify_schnorrsigs_32         ,    13.3       ,    13.3       ,    13.4    
batchverify_schnorrsigs_39         ,    13.3       ,    13.3       ,    13.3    
batchverify_schnorrsigs_47         ,    12.5       ,    12.5       ,    12.5    
batchverify_schnorrsigs_57         ,    12.1       ,    12.1       ,    12.1    
batchverify_schnorrsigs_69         ,    11.8       ,    11.8       ,    11.9    
batchverify_schnorrsigs_83         ,    11.6       ,    11.7       ,    11.7    
batchverify_schnorrsigs_100        ,    11.3       ,    11.3       ,    11.4    
batchverify_schnorrsigs_121        ,    11.0       ,    11.1       ,    11.1    
batchverify_schnorrsigs_146        ,    10.8       ,    10.8       ,    10.8    
batchverify_schnorrsigs_176        ,    10.7       ,    10.7       ,    10.7    
batchverify_schnorrsigs_212        ,    10.5       ,    10.5       ,    10.5    
batchverify_schnorrsigs_255        ,    10.3       ,    10.3       ,    10.3    
batchverify_schnorrsigs_307        ,    10.0       ,    10.1       ,    10.1    
batchverify_schnorrsigs_369        ,     9.87      ,     9.87      ,     9.88   
batchverify_schnorrsigs_443        ,     9.73      ,     9.76      ,     9.77   
batchverify_schnorrsigs_532        ,     9.63      ,     9.65      ,     9.66   
batchverify_schnorrsigs_639        ,     9.53      ,     9.56      ,     9.59   
batchverify_schnorrsigs_767        ,     9.39      ,     9.41      ,     9.44   
batchverify_schnorrsigs_921        ,     9.27      ,     9.28      ,     9.29   
batchverify_schnorrsigs_1106       ,     9.18      ,     9.19      ,     9.21   
batchverify_schnorrsigs_1328       ,     9.00      ,     9.01      ,     9.01   
batchverify_schnorrsigs_1594       ,     8.91      ,     8.91      ,     8.92   
batchverify_schnorrsigs_1913       ,     8.82      ,     8.82      ,     8.83   
batchverify_schnorrsigs_2296       ,     8.74      ,     8.74      ,     8.75   
batchverify_schnorrsigs_2756       ,     8.70      ,     8.71      ,     8.72   
batchverify_schnorrsigs_3308       ,     8.65      ,     8.68      ,     8.69   
batchverify_schnorrsigs_3970       ,     8.61      ,     8.61      ,     8.62   
batchverify_schnorrsigs_4765       ,     8.53      ,     8.54      ,     8.58   
batchverify_schnorrsigs_5719       ,     8.49      ,     8.50      ,     8.51   
batchverify_schnorrsigs_6863       ,     8.43      ,     8.44      ,     8.45   
batchverify_schnorrsigs_8236       ,     8.35      ,     8.39      ,     8.44   
batchverify_schnorrsigs_9884       ,     8.32      ,     8.34      ,     8.38   
batchverify_schnorrsigs_11861      ,     8.25      ,     8.26      ,     8.27   
batchverify_schnorrsigs_14234      ,     8.18      ,     8.21      ,     8.25   
